Date,Price,Open,High,Low,Vol.,Change %
12/31/2024,10.9,10.59,10.9,10.51,13.83K,-0.91%
12/30/2024,11.0,11.3,11.3,10.5,19.71K,0.92%
12/27/2024,10.9,11.45,11.45,10.62,3.21K,-0.82%
12/26/2024,10.99,10.8,11.15,10.6,16.62K,0.37%
12/24/2024,10.95,11.47,11.47,10.6,23.89K,-1.71%
12/23/2024,11.14,11.0,11.4,10.91,21.11K,1.46%
12/20/2024,10.98,10.98,11.0,10.98,2.60K,0.27%
12/19/2024,10.95,10.56,11.0,10.52,40.36K,2.24%
12/18/2024,10.71,11.19,11.19,10.7,30.39K,-2.46%
12/17/2024,10.98,11.2,11.2,10.6,81.54K,-2.66%
12/16/2024,11.28,10.41,12.18,10.41,869.64K,1.90%
12/13/2024,11.07,11.45,11.45,10.92,72.24K,0.00%
12/12/2024,11.07,11.25,11.48,11.01,17.91K,-3.57%
12/11/2024,11.48,11.34,11.99,11.0,195.54K,4.17%
12/10/2024,11.02,11.39,11.79,10.95,720.34K,0.18%
12/09/2024,11.0,10.98,11.3,10.32,670.27K,0.09%
12/06/2024,10.99,11.49,11.49,10.26,468.61K,-2.74%
12/05/2024,11.3,11.34,11.5,10.81,334.10K,2.73%
12/04/2024,11.0,11.0,11.28,10.7,263.30K,0.00%
12/03/2024,11.0,11.45,11.45,10.9,110.31K,1.38%
12/02/2024,10.85,10.81,11.39,10.8,72.10K,0.46%
